Crop,Climate zone,State,County,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AnnualSum,MonthlyStdDev
Corn,Humid Continental (cool summer),Minnesota,Nobles,2004,0.013208,0.021082,0.053594,0.04826,0.141224,0.032512,0.177038,0.099822,0.21209,0.020828,0.026924,0.001524,0.848106,0.067287482
Corn,Humid Continental (cool summer),Minnesota,Nobles,2005,0.0127,0.032004,0.02032,0.096266,0.128524,0.108966,0.089916,0.087884,0.250952,0.04318,0.049276,0.03302,0.953008,0.063074422
Corn,Humid Continental (cool summer),Minnesota,Nobles,2006,0.010414,0.007366,0.05588,0.185166,0.062738,0.093472,0.007366,0.121158,0.115824,0.010922,0.033274,0.047498,0.751078,0.053902832
Corn,Humid Continental (cool summer),Minnesota,Nobles,2007,0.013208,0.033274,0.080518,0.062992,0.081788,0.054102,0.051816,0.312166,0.08001,0.135128,0.003302,0.031242,0.939546,0.078298298
Corn,Humid Continental (cool summer),Minnesota,Nobles,2008,0.017653,0.00508,0.027178,0.066294,0.13462,0.136398,0.094234,0.03429,0.066548,0.120396,0.019812,0.025654,0.748157,0.046173
Corn,Humid Continental (cool summer),Minnesota,Nobles,2009,0.013208,0.025908,0.034036,0.05842,0.090424,0.091694,0.076454,0.11303,0.04826,0.129794,0.022606,0.056134,0.759968,0.035742823
Corn,Humid Continental (cool summer),Minnesota,Nobles,2010,0.02921,0.025908,0.031242,0.07112,0.042926,0.19431,0.098298,0.07874,0.267462,0.029464,0.013462,0.031496,0.913638,0.074741856
Corn,Humid Continental (cool summer),Minnesota,Nobles,2011,0.031496,0.040894,0.02794,0.080518,0.090424,0.139954,0.230886,0.025146,0.009906,0.01397,0.002032,0.018034,0.7112,0.064617198
Corn,Humid Continental (cool summer),Minnesota,Nobles,2012,0.023876,0.065278,0.037846,0.084836,0.222758,0.01524,0.014732,0.072644,0.009906,0.023368,0.021336,0.020828,0.612648,0.057055095
Corn,Humid Continental (cool summer),Minnesota,Nobles,2013,0.018542,0.01524,0.042926,0.098552,0.13081,0.123698,0.009906,0.05715,0.027178,0.102616,0.007112,0.024638,0.658368,0.044453628
Corn,Humid Continental (cool summer),Minnesota,Nobles,2014,0.007366,0.016256,0.01143,0.049784,0.028448,0.254762,0.039116,0.086106,0.030226,0.019812,0.010922,0.021082,0.57531,0.065747588
Corn,Humid Continental (cool summer),Minnesota,Nobles,2015,0.010668,0.011684,0.004318,0.04572,0.132334,0.084074,0.075692,0.164846,0.056896,0.065532,0.108966,0.042418,0.803148,0.047691783
Corn,Humid Continental (cool summer),Minnesota,Nobles,2016,0.005334,0.029972,0.045974,0.108966,0.17526,0.128524,0.072136,0.057658,0.185928,0.073914,0.036322,0.041656,0.961644,0.055302388
Corn,Humid Continental (cool summer),Minnesota,Nobles,2017,0.014224,0.012954,0.023622,0.05207,0.113284,0.13208,0.018288,0.143764,0.064516,0.173482,0.000254,0.008382,0.75692,0.058811133
Corn,Humid Continental (cool summer),Minnesota,Nobles,2018,0.02794,0.02032,0.05969,0.04826,0.096266,0.241046,0.118364,0.195834,0.175768,0.060452,0.021082,0.039624,1.104646,0.07170148
Corn,Humid Continental (cool summer),Minnesota,Nobles,2019,0.031242,0.0508,0.072898,0.14478,0.090424,0.091694,0.117094,0.06731,0.108966,0.140208,0.024511,0.014986,0.954913,0.04185989
